Player_Card_1,Suit_1,Player_Card_2,Suit_2,Community_Cards_1,Community_Suit_1,Community_Cards_2,Community_Suit_2,Community_Cards_3,Community_Suit_3,Community_Cards_4,Community_Suit_4,Community_Cards_5,Community_Suit_5,Round,Player_Stack,Pot_Size,Bet_To_Call,Player_Position,Opponent_1_Action,Hand_Strength
11,1,8,3,0,0,0,0,0,0,0,0,0,0,0,990.0,0.0,10.0,0,-1,1608
7,4,5,1,0,0,0,0,0,0,0,0,0,0,0,980.0,0.0,10.0,1,-1,1607
11,3,4,3,0,0,0,0,0,0,0,0,0,0,0,980.0,0.0,10.0,0,-1,1608
8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,960.0,0.0,10.0,1,-1,1608
11,3,14,4,0,0,0,0,0,0,0,0,0,0,0,950.0,0.0,10.0,0,-1,1608
10,4,3,2,0,0,0,0,0,0,0,0,0,0,0,960.0,0.0,10.0,1,-1,1608
14,4,12,2,0,0,0,0,0,0,0,0,0,0,0,950.0,0.0,10.0,0,-1,1608
4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,930.0,0.0,10.0,1,-1,1608
4,4,7,1,0,0,0,0,0,0,0,0,0,0,0,920.0,0.0,10.0,0,-1,1607
9,3,14,1,0,0,0,0,0,0,0,0,0,0,0,930.0,0.0,10.0,1,-1,1608
11,4,9,2,0,0,0,0,0,0,0,0,0,0,0,920.0,0.0,10.0,0,-1,1608
7,3,4,4,0,0,0,0,0,0,0,0,0,0,0,900.0,0.0,10.0,1,-1,1607
11,4,9,2,7,2,13,1,4,3,0,0,0,0,1,940.0,0.0,0.0,0,-1,6834
7,3,4,4,7,2,13,1,4,3,0,0,0,0,1,880.0,0.0,0.0,1,-1,3184
13,3,2,2,0,0,0,0,0,0,0,0,0,0,0,870.0,0.0,10.0,0,-1,1608
12,4,4,1,0,0,0,0,0,0,0,0,0,0,0,920.0,0.0,10.0,1,-1,1608
6,3,11,1,0,0,0,0,0,0,0,0,0,0,0,910.0,0.0,10.0,0,-1,1608
7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,850.0,0.0,10.0,1,-1,1607
8,4,7,1,0,0,0,0,0,0,0,0,0,0,0,840.0,0.0,10.0,0,-1,1606
13,1,3,3,0,0,0,0,0,0,0,0,0,0,0,890.0,0.0,10.0,1,-1,1608
10,2,9,1,0,0,0,0,0,0,0,0,0,0,0,880.0,0.0,10.0,0,-1,1608
2,2,7,3,0,0,0,0,0,0,0,0,0,0,0,820.0,0.0,10.0,1,-1,1607
10,4,6,2,0,0,0,0,0,0,0,0,0,0,0,810.0,0.0,10.0,0,-1,1608
2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,860.0,0.0,10.0,1,-1,1608
11,2,14,1,0,0,0,0,0,0,0,0,0,0,0,860.0,0.0,10.0,0,-1,1608
4,2,7,2,0,0,0,0,0,0,0,0,0,0,0,780.0,0.0,10.0,1,-1,1607
